City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,walvis bay,-22.9575,14.5053,18.53,68,10,3.6,NA,1699815372
225,kitakami,39.2833,141.1167,2.62,93,96,1.64,JP,1699815373
226,kapuskasing,49.4169,-82.4331,1.05,86,100,6.69,CA,1699815373
227,zaragoza,41.6561,-0.8773,19.71,68,0,3.09,ES,1699815177
228,usman',52.0466,39.7288,10.05,83,82,8.05,RU,1699815373
229,st. john's,47.5649,-52.7093,1.2,82,75,6.17,CA,1699815089
230,mkushi,-13.6202,29.3939,20.8,77,97,3.23,ZM,1699815373
231,cekerek,40.0731,35.4947,15.33,42,100,2.11,TR,1699815374
232,eydhafushi,5.1033,73.0708,27.85,75,100,1.67,MV,1699815374
233,kilindoni,-7.9139,39.6668,26.83,80,100,2.81,TZ,1699815374
234,ust'-kulom,61.6864,53.6902,-0.79,99,100,1.44,RU,1699815374
235,koshki,54.2091,50.4677,3.03,74,100,6.95,RU,1699815374
236,port douglas,-16.4833,145.4667,22.8,78,43,3.58,AU,1699815375
237,naze,28.3667,129.4833,16.51,68,65,7.39,JP,1699815375
238,sigli,5.3848,95.9609,26.57,82,100,1.04,ID,1699815375
239,hamilton,39.1834,-84.5333,15.51,47,0,4.63,US,1699815375
240,mount pearl,47.5166,-52.7813,0.74,83,75,6.17,CA,1699815376
241,caleta de carquin,-11.0925,-77.6267,22.17,74,31,5.17,PE,1699815376
242,hatillo,18.4863,-66.8254,32.81,78,6,5.36,PR,1699815376
243,al artawiyah,26.5053,45.3444,23.84,30,100,3.44,SA,1699815376
244,glace bay,46.1969,-59.957,4.32,71,75,7.72,CA,1699815377
245,viedma,-40.8135,-62.9967,16.74,16,4,7.56,AR,1699815377
246,marsh harbour,26.5412,-77.0636,26.37,63,100,3.62,BS,1699815377
247,toliara,-23.35,43.6667,24.11,77,0,1.11,MG,1699815377
248,mar del plata,-38.0023,-57.5575,17.83,53,0,8.05,AR,1699815377
249,luang namtha,20.9497,101.4011,20.08,99,89,0.29,LA,1699815378
250,okha,53.5739,142.9478,-4.7,90,100,6.82,RU,1699815378
251,artesia,33.8658,-118.0831,29.85,17,0,3.09,US,1699815221
252,kununurra,-15.7667,128.7333,25.99,94,100,1.54,AU,1699815378
253,rawson,-43.3002,-65.1023,16.89,18,3,10.23,AR,1699815378
254,faro,37.0194,-7.9322,18.31,88,0,3.09,PT,1699815379
255,mahajanga,-15.7167,46.3167,29.01,74,20,4.12,MG,1699815379
256,muriti,-1.9833,32.9167,23.83,66,99,1.07,TZ,1699815379
257,sibiti,-3.6819,13.3499,21.66,95,100,0.21,CG,1699815379
258,ipameri,-17.7219,-48.1597,38.3,13,37,3.9,BR,1699815380
259,balcarce,-37.8462,-58.2552,15.46,49,100,2.24,AR,1699815380
260,boa vista,2.8197,-60.6733,33.99,43,40,5.14,BR,1699815380
261,tazovsky,67.4667,78.7,-4.39,95,100,6.27,RU,1699815380
262,arteche,12.2645,125.4048,26.18,88,100,2.08,PH,1699815380
263,zarah sharan,33.1467,68.7917,6.22,29,0,2.26,AF,1699815381
264,vila franca do campo,37.7167,-25.4333,19.23,95,100,8.23,PT,1699815381
265,floro,61.5996,5.0328,5.54,70,0,3.09,NO,1699815381
266,akjoujt,19.6969,-14.4164,28.01,12,2,2.12,MR,1699815381
267,queenstown,-31.8976,26.8753,11.69,71,0,2.3,ZA,1699815381
268,princeville,45.7668,-61.2985,4.22,83,100,3.6,CA,1699815382
269,talnakh,69.4865,88.3972,-2.66,95,100,5.26,RU,1699815382
270,uyuni,-20.4597,-66.825,18.75,17,49,6.04,BO,1699815382
271,liberal,37.0431,-100.921,18.58,25,0,0.0,US,1699815382
272,ponta delgada,37.7333,-25.6667,19.4,94,75,10.8,PT,1699815382
273,kapit,2.0167,112.9333,22.79,100,85,0.53,MY,1699815383
274,kumertau,52.7667,55.7833,1.28,86,100,2.8,RU,1699815383
275,antigonish,45.6169,-61.9986,4.9,86,100,1.79,CA,1699815383
276,bridgewater,44.3835,-64.5155,7.6,57,78,2.57,CA,1699815383
277,livramento do brumado,-13.6431,-41.8406,36.51,17,0,3.07,BR,1699815383
278,namie,37.4833,141.0,4.29,92,100,3.04,JP,1699815384
279,nongstoin,25.5167,91.2667,13.32,74,0,2.03,IN,1699815384
280,aktau,43.65,51.2,11.32,40,9,9.75,KZ,1699815384
281,makary,12.5717,14.4666,28.7,35,18,4.1,CM,1699815384
282,bandar abbas,27.1865,56.2808,21.99,68,0,2.06,IR,1699815384
283,tremonton,41.7119,-112.1655,15.49,48,26,0.89,US,1699815385
284,igarka,67.4667,86.5833,-0.59,98,100,6.47,RU,1699815385
285,lazaro cardenas,17.9583,-102.2,30.88,62,6,2.31,MX,1699815385
286,koungou,-12.7336,45.2042,28.84,74,40,2.06,YT,1699815385
287,chipinge,-20.1883,32.6236,19.95,56,63,2.79,ZW,1699815386
288,saldanha,-33.0117,17.9442,16.03,81,0,11.05,ZA,1699815386
289,mountain home,43.133,-115.6912,13.01,50,100,3.58,US,1699815386
290,kasungu,-13.0333,33.4833,23.59,64,33,3.76,MW,1699815386
291,chistopol',55.3631,50.6424,2.82,76,100,7.09,RU,1699815387
292,sitka,57.0531,-135.33,2.94,87,0,2.06,US,1699815387
293,picnic point,-33.971,151.0072,18.79,85,75,5.66,AU,1699815387
294,baran',54.4764,30.3181,1.48,96,100,7.57,BY,1699815388
295,gazli,40.1333,63.45,8.06,37,11,4.39,UZ,1699815388
296,punta gorda,26.9298,-82.0454,32.99,67,20,1.54,US,1699815238
297,whitehorse,60.7161,-135.0538,-1.57,86,100,4.63,CA,1699815165
298,macapa,0.0389,-51.0664,33.99,43,0,5.14,BR,1699815388
299,moyale,3.5167,39.0584,21.88,73,59,3.51,KE,1699815389
300,patterson,37.4716,-121.1297,19.45,35,93,3.94,US,1699815389
301,dokkum,53.3222,5.997,8.33,100,75,0.51,NL,1699815389
302,mpika,-11.8343,31.4529,18.68,83,99,1.59,ZM,1699815389
303,zubova polyana,54.0771,42.8372,8.4,89,100,8.75,RU,1699815389
304,parham,17.0968,-61.7705,28.83,74,75,6.17,AG,1699815389
305,holualoa,19.6228,-155.9522,24.88,77,20,3.09,US,1699815112
